Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
ZVZD;Звезда НПП;28/05/2009;20/04/2009;-;-;-;-;2008;13/05/2009;Интерфакс;5027030107
SUCE;СухоложскЦемент;05/03/2009;02/02/2009;-;-;1573.17;-;2008;16/02/2009;ДКК;6633001919
ZVSL;Завод Сланцы;19/06/2009;15/05/2009;-;-;не выплач.;1,76;2008;29/05/2009;ДКК;4713000931
ZVEZ;Звезда ;20/06/2009;07/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;7811038760
KVDG;Ковдорский ГОК;20/03/2009;09/03/2009;-;-;117,95;-;2008;20/03/2009;Интерфакс;5104002234
ZSES;Запсибэлектросетьстрой;11/06/2009;05/05/2009;1 500;3,07 ;1 500;3,07 ;2008;13/05/2009;Интерфакс;8602060876
NMAZ;Новомосковская АК Азот;20/03/2009;19/03/2009;-;-;6,572.49;-;2008;31/03/2009;Интерфакс;7116000066
ZSES;Сибэлектросетьстрой;17/06/2009;13/05/2009;0,17;-;0,17;-;2008;18/05/2009;Интерфакс;5407126045
NEAZ;Невинномысский Азот;25/03/2009;20/03/2009;40,75;-;40,75;-;2008;20/03/2009;Интерфакс;2631015563
ZMZN;Заволжский моторный завод;21/05/2009;02/04/2009;-;-;не выплач.;не выплач.;2008;07/04/2009;Интерфакс;5248004137
SKBP;Соликамскбумпром;27/03/2009;18/02/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;16/03/2009;Интерфакс;5919470121
ZENT;Банк ЗЕНИТ;31/03/2009;20/02/2009;-;-;0,03;-;2008;20/02/2009;Интерфакс;7729405872
PKBA;Пивоваренная компания Балтика;02/04/2009;13/02/2009;85,10;85,10;85,10;85,10;2008;17/02/2009;Интерфакс;7830001405
KMAM;КМАэлектромонтаж;02/04/2009;06/03/2009;0.91;0.91;0.91;0.91;2008;15/04/2009;ДКК;3125005391
MKSH;Мебельная компания Шатура;07/04/2009;20/02/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;19/02/2009;Интерфакс;5049007736
UDNP;Удмуртнефтепродукт;07/04/2009;23/03/2009;-;-;не выплач.;не выплач.;2008;12/03/2009;Интерфакс;1826001345
NGSB;Новгородская энергосбытовая компания;09/04/2009;05/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;06/06/2009;Интерфакс;5321102236
TANL;Тантал;10/04/2009;19/03/2009;не выплач.;0,125;не выплач.;0,125;2008;19/03/2009;Интерфакс;6453011530
NORR;Нормаль;10/04/2009;26/02/2009;-;-;не выплач.;не выплач.;2008;25/02/2009;Интерфакс;5257005345
URRM;Уралредмет ;10/04/2009;02/03/2009;-;-;не выплач.;-;2008;31/03/2009;ДКК;7707083893
SYNG;Синергия;14/04/2009;06/03/2009;-;-;не выплач.;не выплач.;2008;06/03/2009;Интерфакс;7705634425
TGKJ;ТГК-10;15/04/2009;06/03/2009;не выплач.;-;не выплач.;-;2008;10/03/2009;Интерфакс;7203162698
ZILL;Завод имени И.А.Лихачева;19/06/2009;04/05/2009;-;-;не выплач.;-;2008;27/05/2009;ДКК;7725043886
MUTF;Мурманский Траловый Флот;17/04/2009;11/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;24/02/2009;Интерфакс;5100000010
PRIM;Приморское морское пароходство;17/04/2009;02/03/2009;-;-;не выплач.;не выплач.;2008;04/03/2009;ДКК;2508018932
BRAD;Богословское рудоуправление;17/04/2009;02/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;27/02/2009;Интерфакс;6617002344
ZAPK;Запсибкомбанк;17/04/2009;04/03/2009;-;-;0.5;-;2008;12/03/2009;ДКК;7202021856
ZHDY;Железные дороги Якутии;01/06/2009;28/04/2009;-;-;-;-;2008;15/05/2009;ДКК;1435073060
NEKK;НЕКК;20/04/2009;05/03/2009;-;-;не выплач.;-;2008;20/04/2009;Интерфакс;7450058035
BMKK;Белорецкий металлургический комбинат;21/04/2009;16/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;17/03/2009;Интерфакс;256006322
TTLK;Таттелеком;22/04/2009;11/03/2009;0,01011;-;0,01011;-;2008;12/03/2009;Интерфакс;1681000024
PMOT;Пермские моторы;22/04/2009;11/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;16/03/2009;Интерфакс;5904000814
ILSO;Илецксоль ;22/04/2009;17/03/2009;-;-;не выплач.;не выплач.;2008;18/03/2009;Интерфакс;5646000237
MBSP;Международный банк Санкт-Петербурга;23/04/2009;18/03/2009;0,33;-;0,33;-;2008;18/03/2009;Интерфакс;7831000210
KZTS;Кировоградский завод твердых сплавов;23/04/2009;06/03/2009;-;-;не выплач.;-;2008;17/03/2009;ДКК;6616000619
ZAPR;Запорожское;29/06/2009;27/05/2009;-;-;-;-;2008;27/05/2009;Интерфакс;2352028594
YTPS;Южтрубопроводстрой;21/05/2009;06/04/2009;не выплач.;-;-;-;2008;05/05/2009;ДКК;6163009586
YRSL;КБ Ярославич;05/06/2009;17/04/2009;-;-;не выплач.;-;2008;13/04/2009;Интерфакс;7604014087
KAZT;КуйбышевАзот;24/04/2009;10/03/2009;-;-;2;2;2008;03/03/2009;Интерфакс;6320005915
YMNP;Роснефть-Ямалнефтепродукт;22/05/2009;06/04/2009;-;-;не выплач.;0,96;2008;08/04/2009;Интерфакс;8901001325
WTCM;Центр международной торговли;24/04/2009;10/03/2009;-;-;0,1054;0,1054;2008;06/02/2009;Интерфакс;7703034574
VZSK;Воронежсинтезкаучук;05/06/2009;23/04/2009;-;-;-;-;2008;05/05/2009;ДКК;3663002167
VZCP;Воронежская кондитерская фабрика;27/05/2009;13/04/2009;не выплач.;-;не выплач.;-;2008;16/04/2009;Интерфакс;3650000412
TERL;Тернейлес ;25/04/2009;01/04/2009;-;-;не выплач.;-;2008;20/02/2009;Интерфакс;2528000813
VSZD;Волгоградский судостроительный завод;16/05/2009;09/04/2009;-;-;-;-;2008;17/04/2009;Интерфакс;3448006530
VSSZ;Выборгский судостроительный завод;22/05/2009;13/04/2009;17,50;17,50;17,50;17,50;2008;14/04/2009;Интерфакс;4704012874
VSMZ;Выксунский металлургический завод;24/06/2009;14/05/2009;-;-;1 746;-;2008;29/05/2009;ДКК;5247004695
URAV;Уральские авиалинии;28/04/2009;09/03/2009;-;-;100;-;2008;27/02/2009;Интерфакс;6608003013
VRSB;Воронежская энергосбытовая компания;05/06/2009;27/04/2009;0,611745 ;0,611745;0,611745 ;0,611745;2008;22/04/2009;Интерфакс;3663050467
VRAO;РАО Энергетические системы Востока;25/06/2009;07/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;28/04/2009;Интерфакс;2801133630
HANF;Хабаровскнефтепродукт;28/04/2009;10/03/2009;не выплач.;0,1;не выплач.;0,1;2008;01/04/2009;ДКК;2700000105
VOSB;Вологодская сбытовая компания;22/05/2009;16/04/2009;0,050012; -;0,050012; -;2008;16/04/2009;Интерфакс;3525154831
VOPT;Восточный Порт;30/06/2009;25/05/2009;-;-;0.38;4.08;2008;26/05/2009;Интерфакс;2508001544
KARA;Русский Каравай;28/04/2009;01/04/2009;-;-;не выплач.;не выплач.;2008;27/04/2009;ДКК;7708018110
VOOS;Волжский оргсинтез;25/04/2009;18/03/2009;570;-;-;-;2008;09/04/2009;ДКК;3435900563
VONM;Волгограднефтемаш;15/05/2009;09/04/2009;-;-;200;-;2008;10/04/2009;Интерфакс;3446003396
DLVB;Дальневосточный банк;29/04/2009;06/03/2009;9,08;14,70;;;2008;05/03/2009;Интерфакс;2540016961
VOLC;Вольскцемент ;27/05/2009;28/04/2009;1166,21;-;не выплач.;-;2008;05/02/2009;Интерфакс;6441002108
BSSL;Бассоль;29/04/2009;20/03/2009;-;-;не выплач.;-;2008;20/03/2009;Интерфакс;3001001186
STBK;Банк Санкт-петербург;29/04/2009;10/03/2009;0,11;0,11;0,11;0,11;2008;23/03/2009;Интерфакс;7831000027
VNPC;Востокнефтепроводстрой;22/05/2009;16/04/2009;не выплач.;151,976555658 ;не выплач.;151,976555658 ;2008;21/04/2009;Интерфакс;274049022
MAGZ;Комбинат Магнезит;29/04/2009;24/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;07/04/2009;ДКК;7417001747
VNIP;ВНИПИгаздобыча;29/05/2009;09/04/2009;-;-;815,57;815,57;2008;27/05/2009;ДКК;6455010081
KNDO;Кондопога;30/04/2009;11/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;02/03/2009;Интерфакс;1003000650
VLTP;Волтайр-Пром;17/06/2009;12/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;13/05/2009;Интерфакс;3435900531
VLHZ;Владимирский химический завод;21/05/2009;02/04/2009;-;-;не выплач.;-;2008;24/03/2009;Интерфакс;3302000669
VLGZ;Волгоградоблгаз;26/06/2009;16/05/2009;-;-;-;-;2008;04/06/2009;ДКК;3443013847
VLGG;Волгогаз;22/05/2009;13/04/2009;501,70;-;501,70;-;2008;13/04/2009;Интерфакс;5260000210
URSA;УРСА Банк;05/05/2009;30/03/2009;не выплач.;0,08 USD;не выплач.;0,08 USD;2008;31/03/2009;Интерфакс;5408117935
VDSB;Владимирская энеросбытовая компания;15/05/2009;09/04/2009;-;-;0,098761;-;2008;20/04/2009;Интерфакс;3302021309
VDOK;Вышневолоцкий ордена Знак Почета мебельно-деревообрабатывающий комбинат;22/05/2009;22/04/2009;-;-;-;-;2008;05/05/2009;ДКК;6908000292
VATY;Ванадий-Тула;26/06/2009;11/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;12/05/2009;Интерфакс;7105008754
VASO;Воронежское самолетостроительное общество;21/05/2009;03/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;30/03/2009;Интерфакс;3650000959
UZRT;Уральский завод резиновых технических изделий;04/06/2009;27/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;13/04/2009;Интерфакс;6664002550
UUAZ;Улан-Удэнский авиационный завод;18/06/2009;05/05/2009;0.424;-;0.430;-;2008;17/04/2009;Интерфакс;323018510
SARE;Саратовэнерго;12/05/2009;02/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;06/04/2009;Интерфакс;6450014808
USYB;УРАЛСИБ-ЮГ БАНК;18/06/2009;13/05/2009;-;-;2,54 ;2,54 ;2008;04/06/2009;ДКК;2310042974
ARSE;Машиностроительный завод Арсенал;13/05/2009;01/04/2009;-;-;-;-;2008;27/04/2009;ДКК;7804040302
KLNA;Концерн КАЛИНА;14/05/2009;25/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;19/03/2009;Интерфакс;6608000083
GZES;Газэнергосервис;14/05/2009;07/04/2009;44,22;-;44,22;-;2008;09/04/2009;Интерфакс;7709105630
USSB;Уссурийский бальзам;12/05/2009;20/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;31/03/2009;Интерфакс;2511003566
URBM;Уралбурмаш;25/06/2009;25/05/2009;-;-;не выплач.;-;2008;02/06/2009;ДКК;6646000133
PLZL;Полюс Золото;15/05/2009;27/03/2009;не выплач.;-;не выплач.;-;2008;27/03/2009;Интерфакс;7703389295
VGSB;Волгоградэнергосбыт;15/05/2009;08/04/2009;не выплач.;0,006;не выплач.;0,006;2008;14/04/2009;Интерфакс;3445071523
SMNF;НК Роснефть - Смоленскнефтепродукт;15/05/2009;30/03/2009;-;-;70,78;212,33 ;2008;13/03/2009;Интерфакс;6730017336
TASB;Тамбовская энергосбытовая компания;15/05/2009;10/04/2009;0,002821185 ;0,002821185 ;0,002821185;0,002821185;2008;01/04/2009;Интерфакс;5190400250
SBRA;Себряковский комбинат асбестоцементных изделий;15/05/2009;10/04/2009;-;-;54945;-;2008;12/03/2009;Интерфакс;3437000078
URAP;Уралавтоприцеп;25/06/2009;07/05/2009;не выплач.;0,30;не выплач.;0,30;2008;18/05/2009;ДКК;7450003445
URAG;Уральский асбестовый горно-обогатительный комбинат;15/05/2009;31/03/2009;не выплач.;-;не выплач.;-;2008;23/04/2009;ДКК;6603001252
UORS;Уралоргсинтез;20/05/2009;15/04/2009;-;-;не выплач.;-;2008;14/04/2009;Интерфакс;5920014645
UNKL;Южно-Уральский никелевый комбинат;15/05/2009;30/03/2009;не выплач.;-;не выплач.;-;2008;27/03/2009;Интерфакс;5613000143
BENR;Корпоративные сервисные системы;15/05/2009;31/03/2009;не выплач.;57,97426;не выплач.;57,97426;2008;03/04/2009;Интерфакс;3125008321
ULSR;Ульяновскэнергоспецремонт;26/06/2009;26/05/2009;-;-;-;-;2008;10/06/2009;ДКК;7327030937
ULPR;Ульяновское производственное ремонтное предприятие;26/06/2009;26/05/2009;-;-;-;-;2008;10/06/2009;ДКК;7327030944
UKUZ;УК Южный Кузбасс;17/06/2009;30/04/2009;не выплач.;-;не выплач.;-;2008;04/05/2009;Интерфакс;4214000608
UILZ;Усть-Илимский леcопильно-деревообрабатывающий завод;27/06/2009;27/05/2009;не выплач.;-;не выплач.;-;2008;10/06/2009;ДКК;3817012915
UGOK;Учалинский ГОК;17/06/2009;02/05/2009;не выплач.;-;не выплач.;-;2008;30/04/2009;Интерфакс;270007455
UDSB;Удмуртская энергосбытовая компания;24/06/2009;15/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;15/05/2009;Интерфакс;1835062930
UDSB;Удмуртская энергосбытовая компания;24/06/2009;15/05/2009;не выплач.;0,26655767 ;не выплач.;0,26655767 ;1 полуг. 2009;21/05/2009;Интерфакс;1835062930
UALK;УРАЛАЛКО;27/04/2009;01/04/2009;-;-;-;-;2008;10/04/2009;ДКК;5904101820
BNGF;Башнефтегеофизика;15/05/2009;30/03/2009;-;100;-;100;2008;29/04/2009;ДКК;275009544
TYMT;Тулачермет;05/06/2009;20/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;21/04/2009;Интерфакс;7105008031
ARSB;Архангельская сбытовая компания;18/05/2009;14/04/2009;0,00012 ;0,00039 ;0,00012 ;0,00039 ;1 полуг. 2009;14/04/2009;Интерфакс;2901134250
KCHE;Камчатскэнерго;18/05/2009;13/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;03/04/2009;Интерфакс;4100000668
ALNZ;АЛНАС;18/05/2009;13/04/2009;не выплач.;-;не выплач.;-;2008;15/04/2009;Интерфакс;1607000081
TVEO;Тверьоблгаз;29/05/2009;30/04/2009;-;-;50.25;-;2008;08/05/2009;ДКК;6900000364
TUZA;Туймазинский завод автобетоновозов;21/05/2009;20/04/2009;не выплач.;-;не выплач.;-;2008;21/04/2009;Интерфакс;269008334
TUPL;Туполев;09/06/2009;04/05/2009;не выплач.;-;не выплач.;-;2008;08/05/2009;ДКК;7705313252
TUMA;Туламашзавод;29/04/2009;11/03/2009;-;0,064 ;-;0,064 ;2008;26/02/2009;Интерфакс;7106002836
UAZA;Ульяновский Автомобильный Завод;20/05/2009;01/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;25/03/2009;Интерфакс;7300000029
TTRS;Тындатрансстрой;29/05/2009;01/05/2009;-;-;не выплач.;не выплач.;2008;27/05/2009;ДКК;2808001320
TSGI;Тяжстанкогидропресс;19/06/2009;04/05/2009;-;-;-;-;2008;15/04/2009;ДКК;5403101628
TSES;Трест Севэнергострой;18/06/2009;30/04/2009;-;-;не выплач.;-;2008;10/04/2009;Интерфакс;7825333010
TRSS;Транссигналстрой;27/05/2009;09/04/2009;-;-;35;-;2008;13/04/2009;ДКК;770100909
TRGM;Трест Гидромонтаж;07/05/2009;23/03/2009;0,0025;0,0025;0,0025 ;0,0025 ;2008;09/04/2009;ДКК;7734047608
CEGZ;Центрэнергогаз;21/05/2009;29/04/2009;-;-;не выплач.;2 302,76;2008;27/04/2009;Интерфакс;5050002450
MISB;Мариэнергосбыт;21/05/2009;16/04/2009;-; -;не выплач.;0,04;2008;16/04/2009;Интерфакс;1215099739
TATF;Татфондбанк;21/05/2009;27/03/2009;не выплач.;-;не выплач.;-;2008;13/04/2009;ДКК;1653016914
ASSB;Астраханская энергосбытовая компания;21/05/2009;10/04/2009;0,0019419;-;0,0019419; -;2008;14/04/2009;Интерфакс;3017041554
MEFR;Метафракс;21/05/2009;10/04/2009;-;-;не выплач.;-;2008;03/02/2009;Интерфакс;5913001268
KFAR;Красфарма;21/05/2009;02/04/2009;-;-;не выплач.;-;2008;05/05/2009;ДКК;2464010490
TOZZ;Тульский оружейный завод;24/04/2009;09/03/2009;не выплач.;-;не выплач.;-;2008;18/02/2009;Интерфакс;7107003303
TORS;Томская распределительная компания;04/06/2009;23/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;27/04/2009;Интерфакс;7017114672
TOMS;Томские магистральные сети;11/06/2009;30/04/2009;-;-;не выплач.;не выплач.;2008;15/05/2009;ДКК;7017114665
TOBM;Теплообменник;28/04/2009;11/03/2009;1,60;-;1,60;-;2008;27/03/2009;Интерфакс;5258000011
URKU;Уральская кузница;21/05/2009;02/04/2009;не выплач.;-;не выплач.;-;2008;07/04/2009;Интерфакс;7420000133
TNBP;ТНК-ВР Холдинг;30/06/2009;15/05/2009;-;-;2.12;2.12;2008;02/06/2009;ДКК;7225004092
TMSZ;Тихорецкий машиностроительный завод;17/06/2009;27/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;03/02/2009;Интерфакс;2321003173
TMRG;Тюменьмежрайгаз;29/06/2009;28/05/2009;-;-;-;-;2008;15/06/2009;ДКК;7203058440
TMNP;Газпромнефть-Тюмень;29/06/2009;25/05/2009;-;-;-;-;2008;02/06/2009;ДКК;7204003732
MAGN;Магнитогорский металлургический комбинат;22/05/2009;09/04/2009;не выплач.;-;не выплач.;-;2008;13/02/2009;Интерфакс;7414003633
MYNT;НК Роснефть - Мурманскнефтепродукт;22/05/2009;06/04/2009;не выплач.;26,47 ;не выплач.;26,47 ;2008;05/03/2009;Интерфакс;5193102164
DGBZ;Дорогобуж;22/05/2009;03/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;02/04/2009;Интерфакс;6704000505
TLAZ;ТольяттиАзот;21/03/2009;02/02/2009;-;-;не выплач.;-;2008;26/02/2009;ДКК;6320004728
TKFY;Тульская кондитерская фабрика Ясная Поляна;17/06/2009;04/05/2009;-;-;не выплач.;-;2008;13/05/2009;Интерфакс;7104002125
TGMK;Таганский мясоперерабатывающий завод;30/06/2009;01/06/2009;-;-;-;-;2008;18/06/2009;ДКК;7722075495
TGKN;ТГК-14;26/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;19/05/2009;Интерфакс;7534018889
TEXL;Технолог;28/04/2009;27/04/2009;-;-;-;-;2008;09/04/2009;ДКК;7711000882
TAVR;Санкт-Петербургский АКБ Таврический;22/05/2009;06/04/2009;-;-;не выплач.;0,30;2008;07/04/2009;Интерфакс;7831000108
TAVI;Таганрогская авиация;26/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;10/06/2009;ДКК;6154029811
TANC;Таганрогский авиационный научно-технический комплекс им. Г.М. Бериева;25/06/2009;06/05/2009;-;-;-;-;2008;27/05/2009;ДКК;6154028021
TAMZ;Таганрогский металлургический завод;17/06/2009;06/05/2009;-;-;0,83;-;2008;29/05/2009;ДКК;6154011797
TAKF;Кондитерская фирма ТАКФ;15/05/2009;31/03/2009;не выплач.;-;не выплач.;-;2008;06/04/2009;Интерфакс;6831004950
GSGZ;Гипроспецгаз;22/05/2009;06/04/2009;2000;2000;2000;2000;2008;17/04/2009;Интерфакс;7815023475
SZRT;Саранский завод Резинотехника;20/05/2009;14/04/2009;не выплач.;-;не выплач.;-;2008;05/05/2009;ДКК;1328028538
SZEC;Севзапэлектросетьстрой;26/06/2009;12/05/2009;-;-;1560;-;2008;04/06/2009;ДКК;7815015548
SNOZ;Салаватнефтеоргсинтез;22/05/2009;16/04/2009;1;-;1;-;2008;23/04/2009;Интерфакс;266008329
SLEN;Сахалинэнерго;22/05/2009;17/04/2009;не выплач.;-;не выплач.;-;2008;27/04/2009;ДКК;6500000024
SVTZ;Северский Трубный Завод;19/06/2009;04/05/2009;11,70 ;-;11,70 ;-;2008;30/04/2009;Интерфакс;6626002291
SVTG;Святогор;15/05/2009;30/03/2009;не выплач.;-;не выплач.;-;2008;26/03/2009;Интерфакс;6618000220
SVAV;СОЛЛЕРС;26/06/2009;09/05/2009;не выплач.;-;не выплач.;-;2008;04/05/2009;Интерфакс;3528079131
SUMZ;Среднеуральский медеплавильный завод;19/06/2009;04/05/2009;не выплач.;-;не выплач.;-;2008;03/06/2009;ДКК;6627001318
STVB;Стройвестбанк;25/06/2009;20/05/2009;не выплач.;-;не выплач.;-;2008;22/06/2009;ДКК;3900000792
STRO;Стронег;22/05/2009;20/04/2009;не выплач.;-;не выплач.;-;2008;16/04/2009;Интерфакс;265001659
STKG;Ставрополькрайгаз;29/06/2009;25/05/2009;-;-;5.17;10.31;2008;19/06/2009;ДКК;2635014240
ARPO;Омский аэропорт;24/05/2009;15/04/2009;не выплач.;1,27;не выплач.;1,27;2008;08/05/2009;ДКК;5507028605
YAEN;Якутскэнерго;25/05/2009;13/04/2009;0,006005466 ;0,006005466;0,006005466;0,006005466;2008;14/04/2009;Интерфакс;1435028701
STAM;Станкомаш;28/04/2009;13/03/2009;-;-;-;-;2008;07/04/2009;ДКК;7449013664
UDMN;Удмуртнефть;26/05/2009;10/04/2009;1 358,52;1 358,52;1 358,52;1 358,52;2008;06/03/2009;Интерфакс;1831034040
MNPZ;Московский нефтеперерабатывающий завод;26/05/2009;16/04/2009;8,07;20,43;8,07;20,43;2008;13/04/2009;Интерфакс;7723006328
BGDV;Большой гостиный двор;26/05/2009;06/04/2009;13.8;-;13.8;-;2008;19/03/2009;Интерфакс;7830001892
STAL;Стальмаг;15/06/2009;29/04/2009;не выплач.;-;-;-;2008;15/05/2009;ДКК;2426000941
ALNP;НК Роснефть - Алтайнефтепродукт;26/05/2009;20/04/2009;0,04;0,22 ;0,04;0,22 ;2008;13/04/2009;Интерфакс;2225007351
BRAR;Брянский арсенал;26/05/2009;13/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;13/04/2009;Интерфакс;3201001955
SRPL;Сарапульский электрогенераторный завод;18/06/2009;01/05/2009;-;-;не выплач.;-;2008;06/02/2009;Интерфакс;1827001683
SPTL;Северо-Западный Телеком;22/06/2009;04/05/2009;-;-;0,617 ;1,281;2008;17/04/2009;Интерфакс;7808020593
SPRP;Саратовское ПРП;28/06/2009;26/05/2009;-;-;-;-;2008;09/06/2009;ДКК;6450074772
NVTK;НОВАТЭК;27/05/2009;20/04/2009;1,52;-;1,52;-;2008;07/04/2009;Интерфакс;6316031581
MAGE;Магаданэнерго;27/05/2009;17/04/2009;не выплач.;0,012258341 ;не выплач.;0,012258341 ;2008;13/04/2009;Интерфакс;4909047148
SPBP;Санкт-Петербургский картонно-полиграфический комбинат;05/06/2009;02/04/2009;-;-;не выплач.;49,03 ;2008;31/03/2009;Интерфакс;4719003640
SODD;Сода;19/05/2009;06/04/2009;не выплач.;-;не выплач.;-;2008;17/04/2009;Интерфакс;268015226
SNTZ;Синарский Трубный завод;18/06/2009;04/05/2009;53,62;-;53,62;-;2008;13/05/2009;Интерфакс;6612000551
SMTL;Самотлорнефть;10/06/2009;24/04/2009;не выплач.;-;не выплач.;-;2008;24/04/2009;Интерфакс;8603032215
STSB;Ставропольэнергосбыт;27/05/2009;14/04/2009;не выплач.;0,00041;не выплач.;0,00041;2008;15/04/2009;Интерфакс;2626033550
SMSR;Самараэнергоспецремонт;27/06/2009;26/05/2009;-;-;-;-;2008;09/06/2009;ДКК;6319104887
BRSB;АК БАРС;27/05/2009;21/04/2009;не выплач.;-;не выплач.;-;2008;28/04/2009;ДКК;1653001805
SMPR;Самарское ПРП;27/06/2009;26/05/2009;-;-;-;-;2008;09/06/2009;ДКК;6319104894
PMSB;Пермская энергосбытовая компания;28/05/2009;17/04/2009;3,363856 ;3,363856 ;3,363856;3,363856;2008;20/04/2009;Интерфакс;5904123809
ALCE;Альфа Цемент;28/05/2009;27/04/2009;не выплач.;-;не выплач.;-;2008;06/02/2009;Интерфакс;5903022847
