Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
COFG;Центральная обогатительная фабрика Гуковская;26/06/2009;29/05/2009;-;-;-;-;2008;09/06/2009;ДКК;6144003719
CHMK;Челябинский металлургический комбинат;27/05/2009;10/04/2009;не выплач.;-;не выплач.;-;2008;08/04/2009;Интерфакс;7450001007
YLGC;Уралэлектротяжмаш-Уралгидромаш;26/06/2009;13/05/2009;-;-;не выплач.;не выплач.;2008;28/05/2009;ДКК;6652001400
UFAL;Уфалейникель;26/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;04/05/2009;Интерфакс;7402001769
HIMC;Химпром г. Новочебоксарск;26/06/2009;08/05/2009;не выплач.;1,46;не выплач.;1,47;2008;19/03/2009;Интерфакс;2124009521
CHLB;Челиндбанк;26/05/2009;14/04/2009;-;-;0,6;0,15;2008;20/04/2009;Интерфакс;7453002182
CLSB;Челябэнергосбыт;26/06/2009;08/05/2009;0,004354 ;0,004354;0,004354;0,004354;2008;28/05/2009;Интерфакс;7451213318
CHEA;Череповецкий Азот;26/06/2009;21/05/2009;33,52 ;175,82 ;33,52 ;175,82 ;2008;25/05/2009;Интерфакс;3528006729
BORG;Эй Джи Си БСЗ;26/06/2009;21/05/2009;не выплач.;-;не выплач.;-;2008;08/05/2009;ДКК;5246002261
CHKB;Чувашкабель;20/03/2009;19/02/2009;-;-;-;-;2008;17/03/2009;ДКК;2127009135
KUBN;Южная телекоммуникационная компания;26/06/2009;07/05/2009; -; -;0,028223;0,0573;2008;17/04/2009;Интерфакс;2308025192
YAKG;Якутгазпром;26/06/2009;21/05/2009;-;-;-;-;2008;18/05/2009;Интерфакс;1435032049
CHEP;Челябинский трубопрокатный завод;09/06/2009;04/05/2009;не выплач.;-;не выплач.;-;2008;05/05/2009;Интерфакс;7449006730
CHAZ;Чебоксарский агрегатный завод;29/05/2009;14/04/2009;19;-;не выплач.;-;2008;31/03/2009;Интерфакс;2126001687
MGOK;Михайловский ГОК;26/06/2009;21/05/2009;-;-;не выплач.;-;2008;19/06/2009;ДКК;4633001577
SNGS;Сургутнефтегаз;27/06/2009;15/05/2009;0,6;1,326 ;0,6;1,326 ;2008;27/04/2009;Интерфакс;8602060555
AVKR;Автокран;27/06/2009;11/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;09/04/2009;Интерфакс;3731024644
AFKS;АФК Система;27/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;23/04/2009;Интерфакс;7703104630
RKKE;РКК Энергия;27/06/2009;12/05/2009;-;-;не выплач.;-;2008;05/05/2009;Интерфакс;5018033937
TUOG;Тулаоблгаз;27/06/2009;26/05/2009;18,97 ;-;18,97 ;-;2008;27/05/2009;Интерфакс;7107029245
PBSB;Петербургская сбытовая компания;27/06/2009;20/05/2009;-;-;не выплач.;0,406 465 491;2008;29/05/2009;ДКК;7841322249
UMSH;Уральский завод тяжелого машиностроения;27/06/2009;21/05/2009;-;-;не выплач.;не выплач.;2008;04/06/2009;ДКК;6663005798
KAMC;Камкабель;27/06/2009;22/05/2009;-;-;не выплач.;-;2008;04/06/2009;ДКК;5907001693
AKIL;Авиационный комплекс С.В.Ильюшина;27/06/2009;16/05/2009;225,14 ;-;225,14 ;-;2008;04/06/2009;ДКК;7714027882
CEMT;Е4-Центрэнергомонтаж;15/06/2009;07/05/2009;-;-;не выплач.;-;2008;05/05/2009;ДКК;7710111808
CEHL;Центрэнергохолдинг;19/06/2009;08/05/2009;-;-;-;-;2008;15/05/2009;ДКК;7729604395
CCBK;Сокольский ЦБК;23/06/2009;18/05/2009;-;-;не выплач.;-;2008;19/06/2009;ДКК;3527000989
BZEO;Бугульминский электронасосный завод;26/06/2009;21/05/2009;-;-;не выплач.;2,75;2008;03/06/2009;ДКК;1645000011
BTST;Бамтоннельстрой;30/06/2009;26/05/2009;-;-;288.12;2175.5;2008;11/06/2009;ДКК;317000144
BTSM;Барнаултрансмаш;23/06/2009;06/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;06/05/2009;Интерфакс;2202000222
GAZP;Газпром;29/06/2009;08/05/2009;0,36;-;0,36;-;2008;05/02/2009;Интерфакс;7736050003
SLAV;НГК Славнефть;29/06/2009;15/05/2009;-;-;не выплач.;-;2008;20/04/2009;Интерфакс;7707017509
HALS;Система-Галс;29/06/2009;12/05/2009;-;-;не выплач.;-;2008;24/04/2009;Интерфакс;7706032060
TMAT;Авиакомпания ЮТэйр;29/06/2009;11/05/2009;0,04;-;0,04;-;2008;04/05/2009;Интерфакс;7204002873
MRKH;МРСК Холдинг ;29/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;04/05/2009;Интерфакс;7728662669
ABVM;Абаканвагонмаш;29/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;05/05/2009;Интерфакс;1901004997
SPDZ;Самарский подшипниковый завод;29/06/2009;13/05/2009;-;-;не выплач.;не выплач.;2008;12/05/2009;Интерфакс;6318100431
VTBR;Банк ВТБ ;29/06/2009;13/05/2009;0,000447 ;-;0.000447;-;2008;14/05/2009;Интерфакс;7702070139
SESC;Свердловская энергосервисная компания;29/06/2009;15/05/2009;-;-;не выплач.;не выплач.;2008;15/05/2009;Интерфакс;6672184920
PIKK;Группа Компаний ПИК;29/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;Интерфакс;7713011336
USBN;БАНК УРАЛСИБ;29/06/2009;24/05/2009;не выплач.;-;не выплач.;-;2008;18/05/2009;Интерфакс;274062111
BRZL;Бурятзолото;29/06/2009;15/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;18/05/2009;Интерфакс;323027345
VRPH;Верофарм;29/06/2009;18/05/2009;не выплач.;-;не выплач.;-;2008;19/05/2009;Интерфакс;7725081786
KUBE;Кубаньэнерго;29/06/2009;20/05/2009;не выплач.;-;не выплач.;-;2008;20/05/2009;Интерфакс;2309001660
PZSB;Пензенская энергосбытовая компания;29/06/2009;19/05/2009;не выплач.;-;не выплач.;0,02093;2008;20/05/2009;Интерфакс;5835059003
PMTL;Полиметалл;29/06/2009;21/05/2009;не выплач.;-;не выплач.;-;2008;21/05/2009;Интерфакс;7805104870
ARMD;Армада;29/06/2009;21/05/2009;не выплач.;-;не выплач.;-;2008;21/05/2009;Интерфакс;7702568982
GAZA;Газ;29/06/2009;22/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;21/05/2009;Интерфакс;5200000046
TCBN;ТрансКредитБанк;29/06/2009;20/05/2009;0.1;-;0.1;400;2008;26/05/2009;Интерфакс;7722080343
BSTD;Белгородстройдеталь;12/05/2009;10/04/2009;-;-;-;-;2008;08/05/2009;ДКК;3124013505
LSRG;Группа ЛСР;29/06/2009;05/06/2009;не выплач.;-;не выплач.;-;2008;28/05/2009;Интерфакс;7838360491
BRMO;Брянский молочный комбинат;19/05/2009;14/04/2009; -; -;не выплач.;0,50;2008;28/04/2009;Интерфакс;3232000207
BETF;Бетфор;29/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;05/05/2009;Интерфакс;6660076494
PGHO;Приаргунское ПГХО;29/06/2009;19/05/2009;-;-;не выплач.;не выплач.;2008;08/05/2009;ДКК;7530000048
BMSK;Башкирский медно-серный комбинат;06/06/2009;29/04/2009;-;-;-;-;2008;06/05/2009;Интерфакс;267005602
KGAZ;Комигаз;29/06/2009;01/06/2009;-;-;4,22;4,22;2008;09/06/2009;ДКК;1101300468
BLAS;Белгородасбестоцемент;15/05/2009;15/04/2009;170;-;-;-;2008;16/04/2009;Интерфакс;3123004089
BELNP;Белозернефть;10/06/2009;24/04/2009;-;-;не выплач.;-;2008;24/04/2009;Интерфакс;8603002852
AZKM;Кемеровское ОАО Азот;04/05/2009;18/03/2009;-;-;-;-;2008;19/03/2009;Интерфакс;4205000908
AZFP;Азовский завод кузнечно-прессовых автоматов;26/06/2009;26/05/2009;-;-;-;-;2008;16/06/2009;ДКК;6140000019
PTRL;РУСИА Петролеум;29/06/2009;12/05/2009;-;-;не выплач.;-;2008;19/06/2009;ДКК;3807001632
MSIN;Мостостройиндустрия;29/06/2009;25/05/2009;-;-;70;-;2008;19/06/2009;ДКК;7708000794
ARSA;Арсагера;17/06/2009;30/04/2009;-;-;не выплач.;не выплач.;2008;05/05/2009;ДКК;7840303927
BLGZ;Белоярскгаз;29/06/2009;01/06/2009;-;-;-;-;2008;25/06/2009;ДКК;
TZUM;ЦУМ;30/06/2009;14/05/2009;-;-;не выплач.;-;2008;29/05/2009;ДКК;7707073366
MSNG;Мосэнерго;30/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;7705035012
ARNC;Компания Арнест;30/06/2009;10/06/2009;-;-;-;-;2008;10/06/2009;ДКК;2631026460
TLSB;Тульская сбытовая компания;30/06/2009;15/04/2009;-;-;не выплач.;-;2008;17/04/2009;Интерфакс;7101006428
OMZZ;Объединенные машиностроительные заводы (Группа Уралмаш-Ижора);30/06/2009;12/05/2009;-;-;не выплач.;0,012;2008;21/04/2009;Интерфакс;6663059899
GMKN;Норильский Никель;30/06/2009;26/05/2009;не выплач.;-;не выплач.;-;2008;27/04/2009;Интерфакс;8401005730
TOSB;Томская энергосбытовая ;30/06/2009;12/05/2009;не выплач.;0,0230;не выплач.;0,0230;2008;08/05/2009;Интерфакс;7017114680
KBSB;Кубанская энергосбытовая компания;30/06/2009;11/05/2009;не выплач.;-;не выплач.;-;2008;08/05/2009;Интерфакс;2308119595
KOGK;Коршуновский ГОК;30/06/2009;12/05/2009;не выплач.;-;не выплач.;не выплач.;2008;12/05/2009;Интерфакс;3834002314
SCON;Седьмой Континент;30/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;7705005628
RTMC;РТМ;30/06/2009;15/05/2009;-;-;не выплач.;-;2008;13/05/2009;Интерфакс;7721562954
GCHE;Группа Черкизово;30/06/2009;13/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;7718560636
ROST;РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ;30/06/2009;14/05/2009;-;-;не выплач.;-;2008;14/05/2009;Интерфакс;7722514880
PHST;Фармстандарт;30/06/2009;13/05/2009;-;-;не выплач.;-;2008;14/05/2009;Интерфакс;274110679
TGKB;ТГК-2;30/06/2009;13/05/2009;-;-;не выплач.;не выплач.;2008;15/05/2009;Интерфакс;7606053324
TGKE;ТГК-5;30/06/2009;15/05/2009;-;-;не выплач.;-;2008;15/05/2009;Интерфакс;2128701733
TGKI;ТГК-9;30/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;Интерфакс;5904119383
FEES;ФСК ЕЭС;30/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;18/05/2009;Интерфакс;4716016979
BGES;Богучанская ГЭС;30/06/2009;15/05/2009;-;-;не выплач.;не выплач.;2008;18/05/2009;Интерфакс;2420002597
GRAZ;Группа РАЗГУЛЯЙ;30/06/2009;18/05/2009;-;-;не выплач.;-;2008;18/05/2009;Интерфакс;7721235763
DIXY;ДИКСИ Групп;30/06/2009;18/05/2009;-;-;не выплач.;-;2008;19/05/2009;Интерфакс;7704249540
APTK;Аптечная сеть 36,6;30/06/2009;18/05/2009;не выплач.;-;не выплач.;-;2008;19/05/2009;Интерфакс;7722266450
ORSB;Орловская сбытовая компания;30/06/2009;18/05/2009;не выплач.;0,011348;не выплач.;0,011348;2008;19/05/2009;Интерфакс;5751028841
MSSB;Мосэнергосбыт;30/06/2009;18/05/2009;не выплач.;-;не выплач.;-;2008;19/05/2009;Интерфакс;7736520080
BNSB;Брянская сбытовая компания;30/06/2009;19/05/2009;не выплач.;0,33504 ;не выплач.;0,33504 ;2008;20/05/2009;Интерфакс;3250056153
MTLR;Мечел;30/06/2009;04/06/2009;5,53;50,55 ;5,53;50,55 ;2008;21/05/2009;Интерфакс;7703370008
BANE;Башнефть;30/06/2009;22/05/2009;14.64;14.64;14.64;14.64;2008;25/05/2009;Интерфакс;274051582
TMKS;Трубная металлургическая компания;30/06/2009;21/05/2009;1.44;-;-;-;2008;25/05/2009;Интерфакс;7710373095
OPIN;Открытые инвестиции;30/06/2009;26/05/2009;не выплач.;-;не выплач.;-;2008;25/05/2009;Интерфакс;7702336269
VBUM;Волгабурмаш;30/06/2009;21/05/2009;-;-;не выплач.;-;2008;25/05/2009;Интерфакс;6314007329
KROT;Красный Октябрь;30/06/2009;25/05/2009;-;-;-;1,58;2008;26/05/2009;Интерфакс;7706043263
KRKO;Красный котельщик;30/06/2009;22/05/2009;не выплач.;0,5315;не выплач.;0,5315;2008;26/05/2009;Интерфакс;6154023009
NTMK;Нижнетагильский металлургический комбинат;30/06/2009;25/05/2009;не выплач.;-;не выплач.;-;2008;26/05/2009;Интерфакс;6623000680
CHZN;Челябинский цинковый завод;30/06/2009;25/05/2009;не выплач.;-;не выплач.;-;2008;26/05/2009;Интерфакс;7448000013
ANGE;Анжерский машиностроительный завод;27/03/2009;08/02/2009;-;-;-;-;2008;25/02/2009;ДКК;4201000625
ZSMK;Западно-Сибирский металлургический комбинат;30/06/2009;25/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;26/05/2009;Интерфакс;4218000951
AZOP;Азот (Пермский край);30/06/2009;26/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;27/05/2009;Интерфакс;5911029525
VOGZ;Воронежоблгаз;30/06/2009;;0,27 ;-;0,27 ;-;2008;27/05/2009;Интерфакс;3664000885
PMN7;Пермэнергоремонт;30/06/2009;15/05/2009;-;-;не выплач.;не выплач.;2007;27/05/2009;ДКК;5904123950
VSMO;Корпорация ВСМПО-АВИСМА;30/06/2009;25/05/2009;23,14;-;23,14;-;2008;27/05/2009;Интерфакс;6607000556
URKA;Уралкалий;30/06/2009;25/05/2009;не выплач.;-;не выплач.;-;2008;25/05/2009;Интерфакс;5911029807
NOKN;Новосибирский оловянный комбинат;30/06/2009;18/05/2009;-;-;не выплач.;-;2008;28/05/2009;ДКК;5403101667
TGHK;ТГК-11 Холдинг;30/06/2009;26/05/2009;-;-;-;-;2008;29/05/2009;ДКК;7729604902
AMUR;Амурский судостроительный завод;19/06/2009;30/04/2009;-;-;не выплач.;-;2008;22/04/2009;Интерфакс;2703000015
AMRG;Азовмежрайгаз;18/06/2009;12/05/2009;-;-;-;-;2008;28/05/2009;ДКК;6140013610
CMST;КОМСТАР - Объединенные ТелеСистемы;30/06/2009;22/05/2009;-;-;0,22;-;2008;03/06/2009;ДКК;7740000069
KUNM;Компания ЮНИМИЛК;30/06/2009;26/05/2009;-;-;не выплач.;-;2008;03/06/2009;ДКК;7714626332
ALVZ;Архангельский ликеро-водочный завод;29/06/2009;29/05/2009;-;-;-;-;2008;22/06/2009;ДКК;2900000293
SITR;СИТРОНИКС;30/06/2009;12/05/2009;-;-;не выплач.;-;2008;04/06/2009;ДКК;7735116621
ALVG;Алтайское вагоностроение ;02/06/2009;30/04/2009;-;-;не выплач.;-;2008;13/05/2009;Интерфакс;2208000010
HMTZ;Химико-металлургический завод;30/06/2009;25/05/2009;-;-;не выплач.;-;2008;09/06/2009;ДКК;2464003340
ORER;Оренбургэнергостройремонт;30/06/2009;08/06/2009;-;-;не выплач.;-;2008;10/06/2009;ДКК;5611025544
ALRS;АЛРОСА;20/06/2009;18/05/2009;-;-;не выплач.;-;2008;29/05/2009;ДКК;1433000147
ALIK;Авиационные линии Кубани;28/05/2009;30/04/2009;-;-;-;-;2008;30/04/2009;Интерфакс;2312023342
ALBM;Альбумин;23/06/2009;13/05/2009;0,0071;;0,0071 ;;2008;04/06/2009;ДКК;5401103690
TRAV;Траверс;30/06/2009;10/06/2009;не выплач.;-;не выплач.;-;2008;15/06/2009;Интерфакс;7713520742
TVAG;Тверской вагоностроительный завод;30/06/2009;26/05/2009;-;-;не выплач.;-;2008;15/06/2009;Интерфакс;6902008908
AKHA;ПАВА;19/06/2009;23/04/2009;-;-;не выплач.;-;2008;15/05/2009;ДКК;2259004165
PFMH;Птицефабрика Михайловская;30/06/2009;01/06/2009;-;-;не выплач.;не выплач.;2008;15/06/2009;ДКК;6434009920
AKGS;Алтайкрайгазсервис;03/06/2009;21/04/2009;-;-;не выплач.;-;2008;08/05/2009;ДКК;2221024324
AISH;Шиферник;05/06/2009;30/04/2009;-;-;не выплач.;-;2008;27/05/2009;ДКК;2315058287
VLGM;Волгомост;30/06/2009;01/06/2009;-;-;не выплач.;не выплач.;2008;18/06/2009;ДКК;6450010433
MNTP;ТРАСТ Национаьный банк;30/06/2009;25/05/2009;-;-;не выплач.;-;2008;18/06/2009;ДКК;7831001567
MZHK;Московский жировой комбинат;30/06/2009;02/06/2009;-;-;не выплач.;-;2008;24/06/2009;ДКК;7748011029
IVSB;Ивановская энергосбытовая компания;26/06/2009;19/05/2009;-;-;не выплач.;0,004358 ;2008;20/05/2009;Интерфакс;3702065117
TRNF;Транснефть;30/06/2009;28/05/2009;не выплач.;236, 78;не выплач.;236, 78;2008;15/06/2009;Интерфакс;7706061801
TOGZ;Тамбовоблгаз;25/06/2009;25/05/2009;-;-;15,5;-;2008;28/05/2009;Интерфакс;6832003117
SIBC;Сибирская инвестиционная компания;30/06/2009;25/05/2009;-;-;не выплач.;-;2008;10/07/2009;Интерфакс;1902017075
NTRI;Нутринвестхолдинг;26/06/2009;26/05/2009;-;-;не выплач.;-;2008;19/12/2008;Интерфакс;5017036692
FZTR;Корпорация Фазотрон-НИИР;07/07/2009;22/05/2009;-;-;не выплач.;-;2008;10/07/2009;Интерфакс;7710037914
TFPB;Преображенская база тралового флота;25/06/2009;;-;-;0,35;-;2008;10/07/2009;Интерфакс;2518000814
ANGS;Ангстрем;30/06/2009;22/06/2009;-;-;не выплач.;-;2008;10/07/2009;Интерфакс;7735010706
TMGS;Томскгазстрой;29/06/2009;;;;не выплач.;не выплач.;2008;10/07/2009;Интерфакс;7022000600
TVET;Тверской экскаватор;29/06/2009;13/05/2009;-;-;не выплач.;не выплач.;2008;13/07/2009;Интерфакс;6903037669
UFMK;Уфимский мясоконсервный комбинат;30/06/2009;;-;-;не выплач.;-;2008;15/07/2009;Интерфакс;273010086
PFPM;Птицефабрика Пермская;30/06/2009;;-;-;не выплач.;-;2008;15/07/2009;Интерфакс;5948008585
TMBR;Тюменский бройлер;30/06/2009;05/06/2009;-;-;не выплач.;-;2008;15/07/2009;Интерфакс;7224005872
AFMC;Агрофирма Мцерская;30/06/2009;05/06/2009;-;-;3,75;-;2008;17/07/2009;Интерфакс;5717060059
MLBL;Молочный комбинат Благовещенский;06/03/2009;;-;-;8;-;2008;03/08/2009;Интерфакс;2801018878
BMSM;Бамстроймеханизация;30/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;04/08/2009;Интерфакс;2808001344
SGOK;Стойленский горно-обогатительный комбинат;05/08/2009;;-;-;321,1;-;1-е полугодие 2009;06/08/2009;Интерфакс;3128011788
YMNP;НК Роснефть-Ямалнефтепродукт;22/05/2009;06/04/2009;не выплач.;0,96 ;-;-;2008;17/08/2009;Интерфакс;8901001325
RZOG;Рязаньоблгаз;26/08/2009;;-;-;4.5;-;2008;25/08/2009;Интерфакс;6230006061
PLZL;Полюс Золото;14/09/2009;07/08/2009;6.55;-;6.55;-;1 полуг. 2009;30/07/2009;Интерфакс;7703389295
SBRA;Себряковский комбинат асбестоцементных изделий;15/09/2009;18/08/2009;54945;-;54945;-;1 полуг. 2009;18/08/2009;Интерфакс;3437000078
ARSE;Машиностроительный завод Арсенал;26/06/2009;21/05/2009;не выплач.;-;не выплач.;-;2008;27/04/2009;ДКК;7804040302
BIOS;Биосинтез;05/06/2009;23/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;25/09/2009;Интерфакс;1325030352
BUSB;Бурятэнергосбыт;15/06/2009;27/04/2009;не выплач.;-;не выплач.;-;2008;25/09/2009;Интерфакс;323125110
CHERP;Чепецкий механический завод;25/06/2009;15/06/2009;-;-;18,295;45;2008;26/06/2009;Интерфакс;1829008035
CHSB;Читинская энергосбытовая компания;23/06/2009;05/05/2009;-;-;не выплач.;0,0003206862 ;2008;26/06/2009;Интерфакс;7536066430
TNGG;Тюменнефтегеофизика;17/06/2009;27/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;30/06/2009;Интерфакс;7203001852
VFLT;"Судоходная компания ""Волжское пароходство""";03/06/2009;22/04/2009;-;-;9,92 ;31,31 ;2008;04/06/2009;Интерфакс;5260902190
VJGZ;Варьеганнефтегаз;09/06/2009;29/04/2009;-;-;не выплач.;не выплач.;2008;29/04/2009;Интерфакс;8609000160
YZDA;Ярославский завод дизельной аппаратуры;18/06/2009;04/05/2009;не выплач.;-;не выплач.;-;2008;29/04/2009;Интерфакс;7601000833
YAR7;Ярэнерго-Холдинг;30/06/2009;19/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;29/04/2009;Интерфакс;7606051849
MRKY;МРСК Юга ;19/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;22/06/2009;Интерфакс;6164266561
FLKO;Финансовая Лизинговая Компания;22/07/2009;18/06/2009;-;-;-;-;2008;24/06/2009;ДКК;7736165131
FENZ;Фирма Энергозащита;05/05/2009;15/04/2009;-;-;не выплач.;-;2008;16/04/2009;Интерфакс;7709046921
NARP;Находкинский морской рыбный порт;25/06/2009;12/05/2009;-;-;не выплач.;не выплач.;2008;12/05/2009;Интерфакс;2508012923
TUAP;Туапсинский морской торговый порт;16/07/2009;29/04/2009;0,02 ;-;0,02 ;-;2008;15/05/2009;Интерфакс;2322001997
FSCO;Федеральная фондовая корпорация;26/06/2009;19/05/2009;-;-;-;-;2008;26/05/2009;Другое;7706024711
TGHK;ТГК-11 Холдинг;07/08/2009;26/05/2009;-;-;-;-;2008;08/07/2009;ДКК;7729604902
KRVA;Красный Восток Агро;27/08/2009;07/07/2009;-;-;-;-;1 полуг. 2009;09/07/2009;ДКК;1659052612;;;
ORNB;Оренбургнефть;29/09/2009;24/08/2009;962.25;962.25;962.25;962.25;1-е полугодие 2009;24/08/2009;Интерфакс;5612002469;;;
MSSB;Мосэнергосбыт;30/09/2009;26/08/2009;0.028319226;-;0.028319226;-;1-е полугодие 2009;26/08/2009;Интерфакс;7736520080;;;
KLNA;Концерн КАЛИНА;07/10/2009;18/08/2009;5,50;-;5,50;-;1-е полугодие 2009;31/08/2009;Интерфакс;6608000083;;;
APAT;Апатит ;08/10/2009;24/08/2009;не выплач.;390;не выплач.;390;2008;24/08/2009;Интерфакс;5103070023;;;
NVTK;НОВАТЭК;15/10/2009;09/09/2009;1;-;1;-;1-е полугодие 2009;05/09/2009;Интерфакс;6316031581;;;
ZAPR;Запорожское;01/11/2009;08/10/2009;-;-;-;-;2008;22/10/2009;ДКК;2352028594;;;
LJAZ;Лужский абразивный завод;09/11/2009;06/10/2009;5000;-;5000;-;1-е полугодие 2009;20/10/2009;ДКК;4710003532;;;
MIST;Мосинжстрой;17/11/2009;05/10/2009;-;1,05;не выплач.;1,05;2008;15/10/2009;ДКК;7703014137;;
CHKB;Чувашкабель;26/11/2009;05/11/2009;-;-;-;-;2008, 2007;06/11/2009;ДКК;2127009135;;
VOOS;Волжский оргсинтез;05/12/2009;31/10/2009;-;-;764;-;9 месяцев 2009;03/11/2009;Интерфакс;3435900563;;
TNBP;ТНК-ВР Холдинг;10/12/2009;30/10/2009;7,41;7,41;7,41;7,41;9 месяцев 2009;06/11/2009;ДКК;7225004092;;
NNSB;Нижегородская сбытовая компания;17/12/2009;06/10/2009;113,58;113,58;-;-;1-е полугодие 2009;02/11/2009;ДКК;5260148520;;
VIMP;Вымпел-Коммуникации;17/12/2009;12/11/2009;190,13;-;190,13;0,075 ;9 месяцев 2009;02/11/2009;Интерфакс;7713076301;;
UDMN;Удмуртнефть;18/12/2009;09/11/2009;2807,36 ;2807,36 ;2807,36;2807,36;9 месяцев 2009;10/11/2009;Интерфакс;1831034040;;
KAZT;КуйбышевАзот;19/12/2009;30/10/2009;0,4;0,4;0,4;0,4;1-е полугодие 2009;02/11/2009;Интерфакс;6320005915;;
RBCI;РБК Информационные Системы;18/12/2009;18/11/2009;не выплач.;-;-;-;2008;18/11/2009;Интерфакс;7736206959
NBAM;Находкинская база активного морского рыболовства;18/12/2009;30/10/2009;355;136,78;-;-;9 месяцев 2009;19/11/2009;ДКК;2508007948
VLHZ;Владимирский химический завод;18/12/2009;10/11/2009;-;-;-;-;9 месяцев 2009;01/12/2009;ДКК;3302000669
OMSB;Омская энергосбытовая компания;21/12/2009;13/11/2009;35.2837;35.2837;-;-;9 месяцев 2009;17/11/2009;ДКК;5503091518
BUSB;Бурятэнергосбыт;21/12/2009;13/11/2009;0.5018428;-;-;-;9 месяцев 2009;30/11/2009;ДКК;323125110
KABE;Каббалкэнерго;29/12/2009;23/11/2009;-;-;-;-;2008;24/11/2009;Интерфакс;711008455
RTVL;Роствертол;29/12/2009;23/11/2009; 0,03 ;-; 0,03 ;-;9 месяцев 2009;25/11/2009;Интерфакс;6161021690
